PID,Time,TrialIndex,Visualisation,PosX,PosY,PosZ,RotY
2,449.81,0,1,-2.657066,2.78088,-1.396689,110.5303
2,449.9212,0,1,-2.530156,2.78111,-1.562449,107.7835
2,450.0325,0,1,-2.36756,2.781444,-1.69272,104.0116
2,450.1436,0,1,-2.205885,2.781572,-1.823853,100.7574
2,450.2541,0,1,-2.041346,2.781243,-1.949185,97.95876
2,450.3647,0,1,-1.858251,2.780996,-2.048235,96.85783
2,450.4756,0,1,-1.694427,2.781642,-2.179242,96.81794
2,450.5865,0,1,-1.54705,2.781408,-2.329543,97.16524
2,450.6974,0,1,-1.407824,2.781001,-2.489873,97.88274
2,450.8086,0,1,-1.268101,2.78117,-2.650813,98.65633
2,450.9199,0,1,-1.129943,2.781346,-2.813266,99.57871
2,451.0312,0,1,-0.9964671,2.78137,-2.980887,101.607
2,451.1426,0,1,-0.8672743,2.781519,-3.151841,103.076
2,451.2538,0,1,-0.7418485,2.781636,-3.324096,103.9578
2,451.3648,0,1,-0.6205764,2.78266,-3.499665,105.5835
2,451.4762,0,1,-0.5027599,2.782867,-3.677287,106.4903
2,451.5875,0,1,-0.3861132,2.782121,-3.854213,106.5953
2,451.6989,0,1,-0.2675195,2.781743,-4.028617,105.6979
2,451.81,0,1,-0.1416502,2.781639,-4.195706,104.0442
2,451.9211,0,1,-0.004984379,2.781022,-4.353389,102.2066
2,452.0324,0,1,0.1395006,2.780598,-4.504478,100.9197
2,452.1438,0,1,0.3192883,2.780379,-4.611527,99.94212
2,452.2548,0,1,0.5279648,2.780462,-4.598235,97.8438
2,452.3662,0,1,0.736814,2.780757,-4.560029,96.43622
2,452.4773,0,1,0.9247227,2.780908,-4.648343,97.49713
2,452.5887,0,1,1.054906,2.780517,-4.818543,98.41908
2,452.6994,0,1,1.184815,2.779736,-4.984635,97.50794
2,452.8105,0,1,1.371911,2.77918,-5.070815,94.39171
2,452.9219,0,1,1.579257,2.77952,-5.090314,89.87597
2,453.0322,0,1,1.786229,2.779965,-5.083905,85.57109
2,453.1433,0,1,1.994728,2.779929,-5.065116,83.60252
2,453.2539,0,1,2.196682,2.78068,-5.020396,81.02966
2,453.3642,0,1,2.391892,2.780928,-4.956037,79.26955
2,453.4752,0,1,2.585422,2.780957,-4.907172,77.72242
2,453.5861,0,1,2.775775,2.781332,-4.909493,76.0228
2,453.6971,0,1,2.958307,2.781368,-4.91265,73.44799
2,453.8083,0,1,3.129506,2.780268,-4.810441,71.92173
2,453.9195,0,1,3.310086,2.780083,-4.718528,72.31688
2,454.0305,0,1,3.491855,2.780809,-4.627292,73.21909
2,454.1418,0,1,3.675628,2.780303,-4.535419,74.37677
2,454.2528,0,1,3.873194,2.780839,-4.480626,80.08289
2,454.3641,0,1,4.079672,2.781394,-4.531838,86.5858
2,454.476,0,1,4.285714,2.781506,-4.489715,90.90314
2,454.5876,0,1,4.490931,2.781607,-4.444171,94.31685
2,454.6988,0,1,4.697659,2.782797,-4.410068,97.67847
2,454.8102,0,1,4.908405,2.784108,-4.385089,100.3931
2,454.9216,0,1,5.121801,2.783448,-4.382476,103.2453
2,455.0327,0,1,5.334198,2.782198,-4.406144,104.678
2,455.1435,0,1,5.532999,2.782212,-4.484244,105.1282
2,455.2552,0,1,5.744875,2.781172,-4.520318,104.7862
2,455.3662,0,1,5.959628,2.780727,-4.532254,104.3911
2,455.4776,0,1,6.175217,2.780467,-4.539981,103.3764
2,455.5891,0,1,6.391461,2.780049,-4.543099,102.9573
2,455.6996,0,1,6.604401,2.779566,-4.549825,103.7231
2,455.8109,0,1,6.816372,2.779593,-4.573579,104.5784
2,455.9219,0,1,7.018308,2.779535,-4.640082,105.1097
2,456.0331,0,1,7.226819,2.779464,-4.680514,106.6418
2,456.1446,0,1,7.437252,2.779123,-4.709231,107.1905
2,456.2555,0,1,7.648824,2.779085,-4.709821,107.2536
2,456.3667,0,1,7.847479,2.7786,-4.728154,107.8191
2,456.4778,0,1,7.880533,2.778432,-4.742949,108.3452
2,456.5891,0,1,7.880107,2.778163,-4.742974,109.455
2,456.6999,0,1,7.879826,2.778453,-4.74418,111.2207
2,456.8109,0,1,7.88098,2.778225,-4.743842,111.5888
2,456.9222,0,1,7.882773,2.778249,-4.745681,113.4511
2,457.0331,0,1,7.882189,2.777957,-4.75294,119.7448
2,457.1443,0,1,7.87954,2.778548,-4.761064,127.5866
2,457.2554,0,1,7.878508,2.778745,-4.766387,133.0019
2,457.3667,0,1,7.880629,2.777754,-4.767892,134.9038
2,457.4779,0,1,7.884955,2.777072,-4.767297,134.7647
2,457.589,0,1,7.885509,2.776907,-4.769652,138.6503
2,457.7003,0,1,7.884784,2.776731,-4.771188,142.474
2,457.8115,0,1,7.888467,2.776458,-4.767661,142.7221
2,457.9228,0,1,7.895824,2.775059,-4.760827,139.1891
2,458.0339,0,1,7.904806,2.773955,-4.751227,132.7599
2,458.145,0,1,7.971645,2.773733,-4.762036,126.8367
2,458.2557,0,1,8.176036,2.773546,-4.818099,125.7813
2,458.3667,0,1,8.377147,2.773022,-4.883105,127.3837
2,458.4776,0,1,8.572903,2.772972,-4.958783,128.8166
2,458.5892,0,1,8.765893,2.773287,-5.043782,130.0744
2,458.7003,0,1,8.810793,2.773203,-5.079202,130.9333
2,458.8115,0,1,8.744609,2.773603,-5.097421,131.7875
2,458.9235,0,1,8.531001,2.773642,-5.108596,132.9662
2,459.0345,0,1,8.342456,2.773562,-5.00376,133.7747
2,459.1458,0,1,8.156884,2.773746,-4.893407,134.2712
2,459.2567,0,1,7.974372,2.773759,-4.781558,134.3345
2,459.3676,0,1,7.864852,2.773697,-4.706397,134.2547
2,459.4786,0,1,7.863938,2.774049,-4.706306,133.9788
2,459.5903,0,1,7.864891,2.773532,-4.707187,134.2982
2,459.7009,0,1,7.95995,2.772765,-4.843026,134.6462
2,459.812,0,1,8.070178,2.772395,-5.021136,134.9435
2,459.9232,0,1,8.082044,2.772343,-5.061637,135.0387
2,460.0349,0,1,8.08235,2.772462,-5.059711,134.18
2,460.146,0,1,8.081858,2.773094,-5.056102,132.7481
2,460.2567,0,1,8.08167,2.77373,-5.050754,129.7991
2,460.3675,0,1,8.080152,2.77431,-5.047172,128.5892
2,460.4786,0,1,8.075225,2.775065,-5.048736,131.479
2,460.5897,0,1,8.075515,2.775739,-5.04153,126.5729
2,460.7007,0,1,8.079511,2.776613,-5.0253,115.5189
2,460.8116,0,1,8.080966,2.777245,-5.008645,105.5848
2,460.9229,0,1,8.079224,2.777166,-4.997043,99.90055
2,461.0342,0,1,8.075704,2.776779,-4.993381,99.34713
2,461.1454,0,1,8.072357,2.777109,-4.99791,103.091
2,461.2565,0,1,8.068439,2.776582,-5.00818,110.2668
2,461.3672,0,1,8.064805,2.776338,-5.016595,115.6661
2,461.4785,0,1,8.062468,2.77671,-5.022687,119.5136
2,461.5896,0,1,8.062141,2.776574,-5.026687,122.1679
2,461.701,0,1,8.065026,2.775527,-5.029288,122.6621
2,461.8117,0,1,8.130942,2.774768,-5.094504,123.5649
2,461.9226,0,1,8.275946,2.774292,-5.248509,124.9552
2,462.0334,0,1,8.292767,2.773567,-5.270326,124.6185
2,462.1447,0,1,8.296322,2.773179,-5.268878,123.9902
2,462.2556,0,1,8.300487,2.773082,-5.262965,120.6311
2,462.3669,0,1,8.304765,2.772778,-5.25413,116.1701
2,462.4777,0,1,8.306034,2.772423,-5.249604,115.2153
2,462.589,0,1,8.145149,2.77218,-5.140906,115.6726
2,462.7001,0,1,8.069162,2.771902,-5.087192,113.5785
2,462.8112,0,1,8.070798,2.771947,-5.081452,110.5854
2,462.9224,0,1,8.073412,2.771061,-5.075498,107.2473
2,463.0335,0,1,8.074771,2.769898,-5.071361,105.7424
2,463.1451,0,1,8.075033,2.769564,-5.070996,107.7205
2,463.2562,0,1,8.073736,2.769515,-5.072764,110.3813
2,463.3674,0,1,8.071797,2.769773,-5.074517,112.8586
2,463.4784,0,1,8.07056,2.770411,-5.074983,113.9543
2,463.5894,0,1,7.923787,2.770798,-4.937871,114.6536
