PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
6,2043.742,47,4,9,352.4869,7.513092,1.19379,22.40259,6
6,2058.172,48,5,3,344.9369,15.06308,1.269868,14.43005,6
6,2071.934,49,3,6,348.1762,11.82379,1.312384,13.76245,6
6,2202.677,50,0,4,18.31295,18.31295,1.00542,37.02759,5
6,2238.607,51,5,1,1.05209,1.05209,1.07207,35.93042,5
6,2248.619,52,4,4,2.981703,2.981703,0.7253203,10.01196,5
6,2264.299,53,0,5,359.9319,0.06814575,0.895801,15.67993,5
6,2300.446,54,0,0,9.503971,9.503971,0.9185267,36.14697,5
6,2324.696,55,2,0,4.907311,4.907311,0.7032232,24.25,5
6,2340.138,56,3,5,5.592365,5.592365,0.696168,15.44189,5
6,2356.986,57,0,1,354.4225,5.577454,1.432276,16.84814,5
6,2380.845,58,5,9,2.091607,2.091607,0.7403305,23.85938,5
6,2402.455,59,1,4,359.8427,0.1573181,0.7558858,21.60938,5
7,325.1739,0,0,9,16.1354,16.1354,2.987758,23.77661,3
7,341.3243,1,3,6,335.9616,24.03842,0.5856511,16.15045,3
7,359.5504,2,2,2,344.2587,15.74127,3.075924,18.22607,3
7,374.2963,3,1,3,19.47644,19.47644,0.7092031,14.74594,3
7,390.5092,4,1,9,7.109598,7.109598,0.6209685,16.21292,3
7,407.5227,5,4,7,24.70392,24.70392,1.114222,17.01349,3
7,449.6324,6,5,2,9.563854,9.563854,0.6029959,42.10965,3
7,465.2454,7,2,6,11.61636,11.61636,0.7457951,15.61304,3
7,483.3291,8,4,0,13.74844,13.74844,0.6522535,18.08371,3
7,494.7721,9,0,6,348.7846,11.21542,0.710682,11.44293,3
7,680.6591,10,5,1,2.138444,2.138444,0.6605076,25.30505,1
7,704.8237,11,2,8,13.80425,13.80425,0.6297136,24.16467,1
7,718.7666,12,5,3,17.82718,17.82718,0.5721109,13.94287,1
7,743.1129,13,3,8,6.089132,6.089132,0.5817884,24.34631,1
7,756.483,14,3,5,4.49658,4.49658,0.573465,13.37006,1
7,768.8326,15,2,9,6.168808,6.168808,0.5570124,12.34961,1
7,793.691,16,5,9,2.27466,2.27466,0.5720232,24.8584,1
7,806.9951,17,4,4,2.968012,2.968012,0.5568107,13.30414,1
7,825.0921,18,3,7,1.456449,1.456449,0.5727137,18.09698,1
7,837.5761,19,5,4,2.790334,2.790334,0.8803764,12.48401,1
7,945.0279,20,1,2,334.7071,25.29294,2.894318,6.359863,2
7,964.7611,21,1,4,353.5877,6.412323,6.285025,19.73322,2
7,982.7766,22,5,0,2.043869,2.043869,0.181451,18.0155,2
7,1001.431,23,5,7,4.724618,4.724618,0.413976,18.6546,2
7,1015.335,24,5,8,349.7898,10.21021,0.204461,13.90375,2
7,1032.082,25,4,3,347.308,12.69202,0.2460387,16.74695,2
7,1046.151,26,0,5,357.7535,2.246521,0.3562622,14.06921,2
7,1063.237,27,1,6,358.8143,1.185699,0.1916616,17.08618,2
7,1077.733,28,3,2,345.8981,14.10193,0.1788745,14.49524,2
7,1096.001,29,3,9,354.9219,5.078125,0.3271521,18.26868,2
7,1306.158,30,0,0,355.5031,4.496918,0.7382778,12.52454,6
7,1326.881,31,1,1,2.487651,2.487651,0.7806245,20.72363,6
7,1347.452,32,0,8,353.3101,6.689911,0.7051691,20.57031,6
7,1366.993,33,0,1,2.20681,2.20681,0.6912614,19.54126,6
7,1375.92,34,0,3,0.6951628,0.6951628,0.6098191,8.927002,6
7,1389.549,35,3,1,355.5244,4.475616,0.6130487,13.62952,6
7,1403.022,36,0,7,355.6053,4.394684,0.6975663,13.47217,6
7,1419.517,37,2,5,357.4893,2.510681,0.6235598,16.49585,6
7,1439.268,38,2,4,3.419464,3.419464,0.7332288,19.75098,6
7,1457.311,39,2,7,2.159171,2.159171,0.6641915,18.04211,6
7,1564.68,40,4,2,6.884484,6.884484,0.6941015,20.28821,4
