PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
49,612.0879,36,1,14,1.052888,1.052888,2.838969,27.23138,Arrow & Radar,44.93577427,22.13832398,23.38436,0.457216802,0.858728423
49,630.4131,37,1,7,359.8922,0.1078491,1.9432,18.3252,Arrow & Radar,35.50051125,26.75173411,27.52101,0.720491314,1.501812259
49,642.4544,38,0,7,4.925417,4.925417,2.177104,12.04132,Arrow & Radar,21.65432,18.25009506,18.2501,0.742253555,1.515622872
49,652.4641,39,1,9,357.9584,2.041626,2.731829,10.0097,Arrow & Radar,14.92855167,6.228005817,6.228068,0.234198138,0.622203263
49,663.3574,40,2,7,359.8127,0.1872864,2.018552,10.89331,Arrow & Radar,20.06369043,18.23400764,18.83068,0.837937968,1.728646298
49,674.2202,41,0,1,356.931,3.06897,2.165229,10.86273,Arrow & Radar,20.86070507,14.63824736,14.69847,0.600806203,1.35311013
49,803.3566,42,1,13,355.261,4.738983,2.173064,29.64679,Radar,54.30983138,28.71565386,28.71983,0.488802217,0.968733209
49,823.6046,43,1,8,359.2718,0.7281799,1.469281,20.24799,Radar,27.67536422,19.7715506,19.77676,0.661508151,0.976727073
49,827.5338,44,0,3,358.325,1.674988,1.955905,3.929199,Radar,4.678799267,5.111929384,5.111933,0.617384461,1.301011478
49,837.5745,45,1,16,355.224,4.77597,1.725166,10.04065,Radar,16.03189279,12.21494573,12.73548,0.686775676,1.268391987
49,847.178,46,0,6,357.0332,2.966797,1.777754,9.603516,Radar,15.48104312,8.102084491,8.382174,0.426613372,0.872823453
49,861.0186,47,0,14,358.7967,1.203308,1.129086,13.84064,Radar,22.77432507,14.70876836,15.26985,0.620908148,1.103261843
49,866.3277,48,1,3,358.6451,1.354889,2.709791,5.309082,Radar,7.200277858,6.854255031,6.858387,0.576171654,1.291821637
51,242.6713,0,1,11,159.4594,159.4594,0.5752243,27.0802,Arrow,20.50541606,15.61622492,16.15926,0.759996074,0.596718636
51,254.5576,1,0,3,183.1842,176.8158,1.027857,11.88634,Arrow,6.93380162,5.111929384,5.111933,0.589009641,0.430067876
