PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
51,814.6736,11,2,15,6.953704,6.953704,1.885283,39.70496,Lights
51,830.6874,12,0,11,0.5173469,0.5173469,2.665086,16.01379,Lights
51,861.9213,13,2,12,343.3596,16.64035,1.88128,31.23395,Lights
51,1099.553,14,2,16,184.0148,175.9852,1.628532,60.29407,Radar
51,1142.513,15,1,16,191.2153,168.7847,2.427487,42.95911,Radar
51,1198.147,16,2,6,182.4593,177.5407,1.70094,55.63477,Radar
51,1214.508,17,1,2,181.7198,178.2802,1.708757,16.36084,Radar
51,1278.221,18,0,0,187.2298,172.7702,2.782576,63.71265,Radar
51,1293.892,19,2,14,193.9592,166.0408,2.261578,15.67078,Radar
51,1338.393,20,0,6,187.5528,172.4472,2.580287,44.50171,Radar
51,1644.82,21,1,4,1.910572,1.910572,2.132962,14.08594,Arrow & Lights
51,1654.75,22,0,7,4.292022,4.292022,1.745677,9.930054,Arrow & Lights
51,1658.78,23,0,16,12.74963,12.74963,2.46049,4.029663,Arrow & Lights
51,1670.17,24,0,2,3.205932,3.205932,2.146367,11.3905,Arrow & Lights
51,1688.291,25,0,13,353.2521,6.747894,1.962259,18.12061,Arrow & Lights
51,1705.664,26,1,0,356.6244,3.37561,1.828765,17.37317,Arrow & Lights
51,1716.154,27,2,8,349.6458,10.35425,2.486815,10.4895,Arrow & Lights
51,1894.636,28,2,10,185.4397,174.5603,2.216241,43.04968,Arrow & Radar
51,1904.22,29,1,3,166.1093,166.1093,1.841961,9.58374,Arrow & Radar
51,1922.803,30,1,1,200.2561,159.7439,2.172936,18.58362,Arrow & Radar
51,1943.496,31,1,12,177.9985,177.9985,1.428703,20.69287,Arrow & Radar
51,1960.9,32,1,6,183.5345,176.4655,2.092677,17.40405,Arrow & Radar
51,1976.272,33,1,5,179.3989,179.3989,1.737161,15.37134,Arrow & Radar
51,1997.145,34,2,7,199.9256,160.0744,2.236207,20.87329,Arrow & Radar
51,2141.463,35,1,13,1.246271,1.246271,2.295357,37.05054,Control
51,2166.608,36,1,8,17.24301,17.24301,1.41269,25.14526,Control
51,2186.128,37,1,7,83.62466,83.62466,1.202513,19.52002,Control
51,2217.349,38,2,9,21.73903,21.73903,1.087224,31.2207,Control
51,2242.642,39,2,4,7.513042,7.513042,1.320837,25.2937,Control
51,2261.295,40,1,10,219.0602,140.9398,1.241467,18.65308,Control
51,2274.669,41,1,15,87.85388,87.85388,1.067521,13.37402,Control
51,2412.801,42,2,11,3.305523,3.305523,1.681316,43.69385,Lights & Radar
51,2460.579,43,2,3,6.463632,6.463632,1.029189,47.77881,Lights & Radar
51,2493.725,44,0,12,2.458185,2.458185,2.651641,33.14526,Lights & Radar
51,2514.427,45,0,10,356.4728,3.527161,2.259208,20.70264,Lights & Radar
51,2527.683,46,1,9,14.32985,14.32985,2.773861,13.25537,Lights & Radar
51,2563.042,47,2,5,11.23894,11.23894,2.438923,35.35962,Lights & Radar
51,2579.981,48,0,14,345.4362,14.56375,2.77771,16.93848,Lights & Radar
52,254.3044,0,1,6,18.07421,18.07421,1.642683,45.68887,Control
52,295.1545,1,2,11,359.4918,0.5081787,1.757655,40.85013,Control
52,333.3271,2,1,3,7.10358,7.10358,1.267475,38.17255,Control
52,379.6979,3,2,15,3.931418,3.931418,0.939577,46.37085,Control
52,408.8248,4,1,2,356.8296,3.17041,1.382742,29.12683,Control
52,435.6979,5,2,10,353.8525,6.147461,1.033899,26.87311,Control
52,477.8783,6,2,9,340.752,19.24802,0.8724049,42.18039,Control
52,701.4652,7,0,12,351.3418,8.658173,1.275794,20.42975,Arrow & Lights
52,718.6903,8,2,5,354.2487,5.751312,2.565308,17.2251,Arrow & Lights
52,725.6609,9,1,10,353.3829,6.617065,0.769537,6.970642,Arrow & Lights
52,751.2783,10,2,2,353.3221,6.677887,1.195198,25.61737,Arrow & Lights
52,762.6885,11,0,1,355.1882,4.811768,2.030785,11.41022,Arrow & Lights
52,791.6597,12,1,13,354.4263,5.5737,0.813062,28.97119,Arrow & Lights
52,847.1167,13,1,16,357.1469,2.853058,0.9460476,55.45697,Arrow & Lights
52,980.5263,14,2,7,357.644,2.356049,2.269455,17.96814,Lights & Radar
52,993.8036,15,0,3,356.5821,3.417877,2.205499,13.27734,Lights & Radar
52,1010.494,16,0,2,354.4348,5.565247,2.251496,16.69061,Lights & Radar
52,1021.129,17,1,9,0.2248607,0.2248607,2.533545,10.63507,Lights & Radar
52,1038.6,18,1,11,354.1141,5.885895,1.808645,17.47028,Lights & Radar
52,1057.288,19,1,4,355.388,4.611969,2.346339,18.68811,Lights & Radar
52,1073.964,20,2,6,354.5397,5.460327,2.67407,16.67603,Lights & Radar
52,1287.517,21,0,16,348.4026,11.59735,2.85745,18.82935,Lights
52,1306.889,22,0,8,0.9052603,0.9052603,2.721143,19.37134,Lights
52,1333.358,23,0,11,351.8541,8.145905,2.06441,26.4696,Lights
52,1361.699,24,2,3,354.1874,5.812561,1.657183,28.34058,Lights
52,1397.447,25,2,0,3.25662,3.25662,2.866699,35.74854,Lights
52,1414.346,26,1,1,355.9615,4.038544,2.637747,16.89844,Lights
52,1430.965,27,2,4,2.606853,2.606853,2.129719,16.61902,Lights
52,1543.213,28,1,12,357.1441,2.855927,2.71858,14.58948,Arrow & Radar
52,1548.715,29,0,5,353.8712,6.128815,2.334718,5.502319,Arrow & Radar
52,1558.01,30,0,6,354.6257,5.374268,2.518741,9.2948,Arrow & Radar
52,1574.589,31,1,7,354.9162,5.083771,2.334012,16.57898,Arrow & Radar
52,1594.428,32,1,14,350.7459,9.25412,1.593253,19.83936,Arrow & Radar
52,1616.034,33,0,10,357.3359,2.664063,2.588777,21.6051,Arrow & Radar
52,1637.712,34,0,0,357.4458,2.554169,2.187865,21.67871,Arrow & Radar
52,1775.526,35,2,14,359.8265,0.1734924,0.9619544,11.30212,Arrow
52,1791.582,36,0,4,3.677837,3.677837,2.516857,16.05615,Arrow
52,1808.542,37,0,13,1.438135,1.438135,1.520679,16.95984,Arrow
52,1817.191,38,1,15,1.714004,1.714004,2.406551,8.649292,Arrow
52,1831.253,39,0,7,1.158759,1.158759,2.261851,14.06213,Arrow
52,1859.169,40,0,9,0.008778045,0.008778045,2.495671,27.91602,Arrow
52,1880.628,41,1,0,2.983916,2.983916,1.851738,21.45874,Arrow
52,1962.386,42,2,13,1.392618,1.392618,3.079144,2.742554,Radar
52,1976.4,43,0,14,0.8427365,0.8427365,1.264089,14.01453,Radar
52,1990.355,44,2,12,0.4694696,0.4694696,1.926709,13.95459,Radar
52,2004.241,45,1,5,357.6123,2.387726,2.443386,13.88623,Radar
52,2016.079,46,1,8,354.8848,5.115173,2.762561,11.83777,Radar
52,2024.403,47,2,8,354.2447,5.75528,1.80419,8.32373,Radar
52,2039.303,48,2,16,357.3206,2.679443,1.202095,14.90039,Radar
6,356.9347,0,0,3,1.784211,1.784211,0.8784276,19.86755,Arrow & Radar
6,386.6079,1,1,10,354.5088,5.491211,0.8956018,29.67325,Arrow & Radar
6,414.1103,2,1,12,356.7468,3.253204,0.8789439,27.50238,Arrow & Radar
6,433.8855,3,0,9,16.95148,16.95148,0.9064295,19.77518,Arrow & Radar
6,446.9098,4,2,3,350.5687,9.431274,0.9741848,13.02429,Arrow & Radar
6,461.0545,5,1,1,12.17447,12.17447,0.8952901,14.14468,Arrow & Radar
6,468.8849,6,0,2,19.47771,19.47771,0.9055137,7.830475,Arrow & Radar
