PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
4,30.93153,6,1,15,61.24032,61.24032,11.03357,0.4261703,5
4,35.95681,7,1,5,79.122,79.122,15.83864,0.358284,5
4,36.26934,8,0,4,47.36293,47.36293,15.20372,0.3125343,5
4,36.5442,9,2,15,188.2113,171.7887,17.55957,0.2748566,5
4,36.7839,10,1,12,67.04874,67.04874,19.04967,0.2397041,5
4,37.00623,11,1,0,40.85289,40.85289,29.92911,0.222332,5
4,37.31173,12,2,6,174.3905,174.3905,13.65317,0.3054924,5
4,37.54958,13,0,14,25.95242,25.95242,14.64568,0.2378502,5
4,49.37271,14,1,3,30.66241,30.66241,6.811826,0.2561531,7
4,49.6753,15,1,2,103.6699,103.6699,9.96229,0.3025894,7
4,49.98765,16,1,11,112.3543,112.3543,15.23505,0.3123474,7
4,50.36092,17,1,9,147.9398,147.9398,5.906044,0.3732643,7
4,50.72313,18,0,8,19.25937,19.25937,13.85653,0.3622093,7
4,51.11384,19,2,8,224.9101,135.0899,5.985591,0.3907127,7
4,51.50372,20,0,7,82.2812,82.2812,17.96124,0.3898811,7
4,56.63131,21,0,16,36.20726,36.20726,5.883749,0.583622,1
4,57.12044,22,1,10,343.9858,16.01416,1.441638,0.4891319,1
4,57.45327,23,1,14,74.41672,74.41672,22.60021,0.3328323,1
4,57.75872,24,1,13,61.69104,61.69104,29.13408,0.3054466,1
4,58.50212,25,2,5,166.4635,166.4635,18.53872,0.7433968,1
4,58.92136,26,1,6,51.15673,51.15673,16.99511,0.4192429,1
4,59.46161,27,0,3,308.2067,51.79327,6.019962,0.5402527,1
4,61.75725,28,2,11,223.9341,136.0659,26.01764,0.3928604,1
4,62.065,29,1,1,167.5608,167.5608,15.5448,0.3077469,1
4,62.38385,30,1,8,63.76056,63.76056,20.32533,0.3188515,1
4,62.79772,31,2,7,155.9453,155.9453,17.24431,0.413868,1
4,63.06204,32,2,0,105.3524,105.3524,7.456645,0.2643204,1
4,63.35336,33,2,14,170.6223,170.6223,5.52026,0.2913246,1
4,63.67465,34,0,6,44.90467,44.90467,8.555738,0.3212891,1
4,68.50518,35,0,11,180.1561,179.8439,9.604699,0.8794022,3
4,68.78515,36,2,13,66.9302,66.9302,3.719687,0.2799683,3
4,69.07666,37,2,2,227.691,132.309,23.28803,0.2915115,3
4,69.3531,38,0,9,237.2244,122.7756,8.621493,0.2764359,3
4,69.6171,39,2,10,242.7538,117.2462,25.84738,0.2640076,3
4,69.99352,40,2,12,185.8946,174.1054,15.28823,0.3764191,3
4,70.7034,41,0,13,50.39808,50.39808,24.04084,0.709877,3
4,75.18662,42,0,2,181.7386,178.2614,4.666454,0.3868637,4
4,75.46281,43,0,1,191.5501,168.4499,13.83542,0.2761917,4
4,75.70155,44,2,16,237.9914,122.0086,13.53664,0.2387314,4
4,75.9248,45,1,7,100.3574,100.3574,26.62661,0.223259,4
4,76.16017,46,2,4,170.944,170.944,10.55443,0.2353668,4
4,76.42115,47,0,0,64.99463,64.99463,22.89639,0.2609787,4
4,77.03569,48,1,16,68.00977,68.00977,13.11948,0.6145401,4
5,17.92472,0,2,14,223.6131,136.3869,5.906306,0.2250671,2
5,18.28369,1,0,13,76.68392,76.68392,23.19671,0.3589668,2
5,18.50883,2,2,3,265.7073,94.29272,18.47378,0.2251415,2
5,18.97875,3,2,11,222.5897,137.4103,26.73102,0.4699192,2
5,20.175,4,1,3,44.17896,44.17896,8.348648,1.196247,2
5,20.38036,5,1,1,145.9292,145.9292,16.42388,0.2053642,2
5,20.5762,6,2,12,185.322,174.678,16.24999,0.1958427,2
5,23.09118,7,1,2,121.857,121.857,10.27578,0.2507973,3
5,23.27205,8,1,15,90.73577,90.73577,11.18729,0.1808796,3
5,23.47235,9,0,16,36.59776,36.59776,5.525529,0.2002983,3
5,23.66564,10,2,4,169.038,169.038,11.31305,0.1932869,3
5,23.87546,11,2,15,220.0474,139.9526,17.65714,0.2098179,3
5,24.05211,12,0,3,320.1743,39.82565,5.172027,0.1766529,3
5,24.24944,13,2,7,162.5487,162.5487,18.20765,0.1973305,3
5,45.47888,14,2,10,243.7836,116.2164,26.00272,0.3636856,3
5,45.73,15,1,13,61.10205,61.10205,28.9258,0.2511177,3
5,46.01996,16,0,0,66.19469,66.19469,22.65062,0.2899666,3
5,46.23831,17,2,2,221.9666,138.0334,23.97178,0.2183456,3
5,46.46512,18,2,16,235.4551,124.5449,13.89681,0.2268105,3
5,46.71116,19,0,11,166.6874,166.6874,10.65051,0.2460403,3
5,46.97598,20,0,12,104.4123,104.4123,11.13522,0.2648163,3
5,56.5887,21,0,10,286.1025,73.89749,9.74056,0.2222443,4
5,56.81398,22,1,10,294.3537,65.6463,1.351377,0.2252808,4
