PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
47,29.71886,22,2,7,11.32337,11.32337,17.76983,0.2511158,1
47,29.93795,23,1,5,315.166,44.83398,16.14746,0.2190895,1
47,30.11984,24,0,10,127.7162,127.7162,9.722624,0.1818943,1
47,30.30179,25,1,6,295.2554,64.7446,16.60576,0.1819534,1
47,30.50952,26,1,8,267.3613,92.63873,20.02512,0.2077274,1
47,30.69318,27,2,10,90.74996,90.74996,26.12351,0.1836624,1
47,31.95285,28,1,15,301.6661,58.33392,11.32393,0.2077236,1
47,32.22869,29,0,3,181.4401,178.5599,5.454199,0.2758369,1
47,32.41053,30,1,16,280.1854,79.81464,12.41101,0.1818352,1
47,32.65043,31,1,3,266.7471,93.25293,7.139606,0.2399025,1
47,32.8557,32,1,7,309.0778,50.92221,26.75886,0.2052727,1
47,33.01038,33,1,14,281.0893,78.91074,22.32004,0.1546783,1
47,33.26051,34,0,13,255.3394,104.6606,22.7425,0.2501297,1
47,36.69423,35,2,4,72.14088,72.14088,11.10611,0.2431679,1
47,36.9268,36,1,2,17.79121,17.79121,10.22716,0.232563,1
47,37.20507,37,1,12,352.6568,7.343201,19.36584,0.2782784,1
47,37.41831,38,0,14,308.5622,51.43784,14.91192,0.2132339,1
47,37.66316,39,1,11,27.42253,27.42253,15.46025,0.2448502,1
47,38.16263,40,2,5,87.36636,87.36636,19.73754,0.4994736,1
47,38.42501,41,0,1,94.89996,94.89996,14.4002,0.2623787,1
47,40.17299,42,1,13,313.1959,46.80411,28.90694,0.2529793,1
47,40.42466,43,2,15,114.0145,114.0145,17.39669,0.2516632,1
47,40.96724,44,2,9,132.3092,132.3092,28.32777,0.5425873,1
47,41.35902,45,1,4,357.5357,2.464294,23.83837,0.3917732,1
47,42.11787,46,2,11,108.8862,108.8862,26.80275,0.7588539,1
47,42.60572,47,2,12,95.99498,95.99498,16.00135,0.4878464,1
47,43.33405,48,0,8,292.9717,67.02826,14.02561,0.7283325,1
48,168.27,0,0,10,1.123195,1.123195,2.954623,13.15437,1
48,177.7787,1,2,14,357.8148,2.185181,2.240334,9.508652,1
48,195.7531,2,0,6,353.2225,6.777527,2.712543,17.97446,1
48,212.4249,3,2,16,5.327357,5.327357,2.427727,16.67171,1
48,236.059,4,2,9,1.439352,1.439352,2.345576,23.63419,1
48,265.537,5,2,15,347.583,12.41696,2.234567,29.47798,1
48,292.6012,6,1,4,359.7925,0.2074585,2.410537,27.06421,1
48,398.24,7,0,1,329.6707,30.32925,2.301887,15.68262,2
48,416.63,8,1,8,328.4458,31.55423,1.8627,18.39001,2
48,437.629,9,2,10,350.3446,9.655426,3.027345,20.99899,2
48,451.9604,10,2,4,6.955596,6.955596,0.9255376,14.33139,2
48,476.4333,11,1,14,321.5236,38.47641,3.03774,24.4729,2
48,491.5204,12,1,5,341.8529,18.14706,2.026278,15.08704,2
48,506.0723,13,0,11,358.9597,1.040283,1.002979,14.55191,2
48,725.2723,14,2,13,7.706917,7.706917,3.08798,5.413025,3
48,752.5943,15,2,12,351.7781,8.221863,2.308421,27.32196,3
48,760.803,16,0,5,10.19062,10.19062,3.054263,8.208679,3
48,777.4908,17,0,9,2.941792,2.941792,2.403495,16.68787,3
48,796.3792,18,1,6,7.51626,7.51626,3.167537,18.88837,3
48,808.659,19,0,7,0.7634019,0.7634019,2.182153,12.27979,3
48,819.0161,20,0,2,0.9545774,0.9545774,2.239245,10.35706,3
48,914.9537,21,0,0,340.3472,19.65283,2.103059,20.00073,4
48,932.7599,22,1,13,350.7188,9.281219,1.244554,17.80621,4
48,950.1773,23,2,7,343.3807,16.61932,2.741292,17.41742,4
48,967.5084,24,1,2,348.3578,11.64218,2.092644,17.33105,4
48,978.3861,25,2,6,6.427407,6.427407,2.323602,10.87775,4
48,991.8297,26,2,11,340.9049,19.09512,1.594025,13.44354,4
48,1016.41,27,1,0,355.959,4.041046,2.15151,24.58063,4
48,1180.79,28,0,3,357.6034,2.396606,2.25768,3.950928,5
48,1184.443,29,1,10,357.8519,2.148071,0.8559771,3.653076,5
48,1196.304,30,2,0,359.7772,0.2227783,1.61349,11.86072,5
48,1210.764,31,2,2,13.24999,13.24999,2.260547,14.46033,5
48,1225.547,32,1,16,0.953234,0.953234,1.709067,14.78284,5
48,1231.195,33,0,16,7.981199,7.981199,0.8358973,5.648193,5
48,1239.356,34,1,15,3.917138,3.917138,2.13975,8.161255,5
48,1317.647,35,1,12,356.0878,3.91217,2.775061,18.26917,6
48,1327.435,36,1,1,350.0534,9.946625,2.195781,9.78772,6
48,1342.259,37,1,11,356.0245,3.975525,2.414582,14.82422,6
48,1352.94,38,2,8,353.8232,6.176758,1.229018,10.68103,6
48,1366.911,39,0,4,359.0768,0.9231567,1.947599,13.97034,6
48,1380.813,40,2,3,359.735,0.2650452,2.142011,13.90234,6
48,1390.003,41,0,12,353.4221,6.577911,2.914053,9.190552,6
48,1841.167,42,2,5,141.3755,141.3755,0.8849781,24.15808,7
